iter	Passed	Remaining
399	37616	56424
400	37705	56323
401	37795	56222
402	37884	56121
403	37991	56046
404	38081	55946
405	38175	55852
406	38270	55759
407	38359	55658
408	38448	55557
409	38544	55467
410	38640	55375
411	38739	55288
412	38828	55187
413	38927	55100
414	39025	55011
415	39123	54922
416	39226	54841
417	39305	54726
418	39405	54641
419	39494	54540
420	39589	54447
421	39688	54360
422	39778	54260
423	39877	54173
424	39983	54095
425	40079	54003
426	40173	53909
427	40271	53820
428	40365	53727
429	40461	53634
430	40550	53534
431	40644	53440
432	40734	53340
433	40824	53241
434	40919	53148
435	41010	53050
436	41105	52957
437	41205	52871
438	41295	52771
439	41384	52671
440	41479	52578
441	41575	52486
442	41665	52387
443	41759	52293
444	41848	52193
445	41937	52092
446	42026	51993
447	42116	51893
448	42205	51793
449	42299	51699
450	42399	51613
451	42494	51519
452	42584	51420
453	42673	51321
454	42763	51221
455	42851	51121
456	42946	51028
457	43046	50941
458	43140	50847
459	43230	50748
460	43328	50659
461	43438	50584
462	43528	50485
463	43628	50397
464	43717	50299
465	43807	50199
466	43901	50106
467	43996	50013
468	44086	49914
469	44175	49815
470	44269	49721
471	44364	49628
472	44453	49528
473	44543	49430
474	44638	49336
475	44732	49243
476	44822	49145
477	44911	49046
478	45000	48946
479	45089	48847
480	45183	48753
481	45283	48665
482	45375	48569
483	45470	48476
484	45564	48383
485	45654	48284
486	45743	48186
487	45838	48092
488	45933	47999
489	46027	47906
490	46122	47813
491	46217	47720
492	46311	47626
493	46401	47528
494	46501	47440
495	46600	47352
496	46695	47259
497	46795	47170
498	46889	47077
499	46988	46988
500	47078	46890
501	47168	46792
502	47262	46698
503	47369	46617
504	47459	46519
505	47554	46426
506	47643	46328
507	47733	46229
508	47822	46131
509	47916	46037
510	48013	45945
511	48102	45847
512	48206	45763
513	48301	45670
514	48405	45586
515	48502	45494
516	48607	45410
517	48700	45315
518	48790	45218
519	48885	45124
520	48977	45029
521	49072	44935
522	49169	44845
523	49248	44737
524	49327	44629
525	49416	44531
526	49511	44437
527	49605	44344
528	49700	44251
529	49793	44156
530	49883	44058
531	49977	43965
532	50067	43867
533	50156	43769
534	50245	43671
535	50339	43577
536	50428	43479
537	50518	43381
538	50613	43288
539	50707	43195
540	50797	43097
541	50886	42999
542	50975	42902
543	51076	42814
544	51177	42726
545	51273	42633
546	51365	42538
547	51466	42450
548	51566	42361
549	51691	42292
550	51792	42204
551	51887	42111
552	51993	42027
553	52116	41956
554	52227	41876
555	52351	41806
556	52463	41726
557	52558	41632
558	52652	41538
559	52742	41440
560	52831	41342
561	52926	41248
562	53015	41150
563	53104	41052
564	53198	40958
565	53293	40864
566	53392	40774
567	53482	40676
568	53581	40586
569	53676	40492
570	53775	40402
571	53865	40304
572	53954	40207
573	54044	40109
574	54133	40011
575	54233	39921
576	54322	39823
577	54411	39726
578	54500	39628
579	54595	39534
580	54695	39444
581	54794	39354
582	54883	39256
583	54972	39158
584	55062	39061
585	55152	38964
586	55241	38867
587	55331	38769
588	55421	38672
589	55510	38574
590	55603	38479
591	55692	38382
592	55792	38292
593	55881	38195
594	55981	38104
595	56080	38014
596	56175	37920
597	56269	37826
598	56358	37729
599	56458	37638
600	56552	37545
601	56647	37451
602	56736	37354
603	56837	37263
604	56931	37170
605	57011	37066
606	57106	36973
607	57201	36879
608	57295	36785
609	57389	36691
610	57489	36601
611	57584	36507
612	57679	36414
613	57773	36320
614	57876	36231
615	57968	36136
616	58050	36034
617	58146	35941
618	58239	35846
619	58334	35753
620	58429	35659
621	58518	35562
622	58618	35472
623	58713	35378
624	58802	35281
625	58897	35188
626	58992	35094
627	59081	34997
628	59170	34900
629	59265	34806
630	59364	34715
631	59454	34618
632	59548	34525
633	59643	34431
634	59732	34334
635	59832	34243
636	59931	34152
637	60029	34060
638	60118	33963
639	60208	33867
640	60301	33772
641	60390	33675
642	60485	33582
643	60580	33488
644	60669	33391
645	60764	33298
646	60864	33207
647	60953	33110
648	60990	32985
649	61085	32892
650	61180	32798
651	61269	32702
652	61359	32606
653	61449	32509
654	61543	32415
655	61641	32324
656	61730	32227
657	61829	32136
658	61918	32039
659	62013	31946
660	62102	31849
661	62197	31756
662	62287	31660
663	62376	31564
664	62471	31470
665	62570	31379
666	62660	31283
667	62749	31186
668	62843	31092
669	62937	30999
670	63027	30903
671	63121	30809
672	63219	30717
673	63314	30623
674	63409	30530
675	63503	30436
676	63598	30342
677	63687	30246
678	63781	30152
679	63871	30056
680	63960	29960
681	64049	29864
682	64144	29771
683	64240	29678
684	64334	29584
685	64429	29490
686	64518	29395
687	64613	29301
688	64708	29207
689	64802	29114
690	64892	29018
691	64987	28924
692	65081	28831
693	65170	28735
694	65264	28641
695	65359	28547
696	65459	28456
697	65558	28365
698	65648	28269
699	65737	28173
700	65836	28081
701	65931	27987
702	66025	27894
703	66152	27814
704	66247	27720
705	66337	27624
706	66427	27529
707	66516	27433
708	66614	27341
709	66705	27245
710	66794	27150
711	66890	27056
712	66990	26965
713	67100	26877
714	67225	26796
715	67331	26707
716	67434	26616
717	67535	26525
718	67645	26437
719	67741	26343
720	67842	26252
721	67952	26164
722	68064	26077
723	68166	25986
724	68277	25898
725	68380	25807
726	68475	25713
727	68570	25619
728	68665	25525
729	68760	25432
730	68859	25339
731	68959	25247
732	69054	25153
733	69143	25057
734	69233	24961
735	69323	24866
736	69412	24770
737	69501	24674
